Date,grand_total_weight,actual_cost,rate_landfill,hypothetical_cost,monthly_savings,cumulative_savings
2020-12-01,124980.0,12462.92,0.12101326308139534,15124.23761991279,2661.31761991279,750699.2646536671
2021-01-01,154681.0,11055.099999999999,0.2124835247599322,32867.164093391075,21812.064093391076,772511.3287470582
2021-02-01,222004.0,16798.870000000003,0.14206149545772187,31538.220237596088,14739.350237596085,787250.6789846543
2021-03-01,90600.0,9843.36,0.12292918918918919,11137.384540540541,1294.0245405405403,788544.7035251948
2021-04-01,236144.0,19199.63,0.1095132984150738,25860.90834092919,6661.278340929188,795205.981866124
2021-05-01,110740.0,12365.75,0.0992101419878296,10986.53112373225,-1379.2188762677506,793826.7629898562
2021-06-01,129450.0,17077.38,0.13672818358112476,17699.4633645766,622.0833645765997,794448.8463544328
2021-07-01,97817.0,13925.619999999999,0.14876515580736543,14551.761245609065,626.1412456090657,795074.9876000418
2021-08-01,135056.0,17043.4,0.15149188876013905,20459.88852838934,3416.488528389338,798491.4761284312
2021-09-01,214652.0,27618.159999999996,0.1139129299176731,24451.638232688365,-3166.5217673116313,795324.9543611195
2021-10-01,362183.0,38475.24,0.10613721235365361,38441.09398188333,-34.14601811666944,795290.8083430029
2021-11-01,227110.0,28444.17,0.10373949665110614,23560.277084432717,-4883.892915567281,790406.9154274357
2021-12-01,285684.0,20857.22,0.08436054938229001,24100.45918973014,3243.2391897301386,793650.1546171658
2022-01-01,222829.0,30663.92,0.11844145927601811,26392.19192901584,-4271.728070984158,789378.4265461817
2022-02-01,309464.0,34604.22,0.1176993124493028,36423.70002781104,1819.4800278110415,791197.9065739927
2022-03-01,323304.0,38574.020000000004,0.12804151430415145,41396.33374058938,2822.3137405893794,794020.2203145821
2022-04-01,344724.0,38412.81,0.12118993033340442,41777.077544252505,3364.267544252507,797384.4878588347
2022-05-01,346584.0,38579.75,0.10916196432490048,37833.79024358131,-745.9597564186915,796638.528102416
2022-06-01,279880.0,52013.979999999996,0.1676764430089602,46929.28286934778,-5084.697130652217,791553.8309717637
2022-07-01,224038.0,28606.61,0.24334403365065307,54518.310611025016,25911.700611025015,817465.5315827887
2022-08-01,258098.0,33250.94,0.1619531035429827,41799.772118236746,8548.832118236744,826014.3637010254
2022-09-01,283520.0,34341.53,0.1357308258230642,38482.40373735516,4140.873737355163,830155.2374383805
2022-10-01,302560.0,39054.53,0.10965637065637066,33177.631505791505,-5876.8984942084935,824278.338944172
2022-11-01,180542.0,23197.59,0.10338015015564915,18664.459069401208,-4533.1309305987925,819745.2080135732
2022-12-01,80836.0,7482.84,0.5010326086956522,40501.471956521746,33018.63195652174,852763.839970095
